m1,m2,f_evals_m,f_evals_std,n_failures,runs
0.0001,0.9,10229.666666666666,4724.823547557681,0,3
0.0001,0.7,7353.666666666667,2820.6316471472996,0,3
0.0001,0.5,13680.0,0.0,2,3
0.001,0.9,8014.0,2616.5726947032576,0,3
0.001,0.7,6506.666666666667,2842.7461292833655,0,3
0.001,0.5,15366.333333333334,6160.358936151547,0,3
0.01,0.9,6885.333333333333,2995.1109421114193,0,3
0.01,0.7,6463.666666666667,2622.694839706332,0,3
0.01,0.5,15721.666666666666,7199.076298773028,0,3
0.1,0.9,8876.0,3143.515972071188,0,3
0.1,0.7,7906.333333333333,3263.104894966687,0,3
0.1,0.5,8188.0,3931.072457570156,0,3
